Sample ID: CS3-1a   Date/Time: Jul 09 2021 17:49,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
300,83.4,69.9,1.09E-03,4.32E-05,3.71E-04,1.02E-03,9.69E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 09:01
300,87.7,69.8,1.10E-03,1.56E-05,3.80E-04,1.03E-03,1.14E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 09:03
300,84.5,70.7,1.08E-03,3.42E-05,3.56E-04,1.02E-03,4.77E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 09:04
350,90.6,69,8.66E-04,-3.17E-06,3.11E-04,8.08E-04,2.75E+01,0,T_4MR_T+Z-Z,22-Jul, 2021 12:10
350,87.9,68.5,8.90E-04,1.17E-05,3.27E-04,8.28E-04,1.18E+02,0,T_4MR_T+Z-Z,22-Jul, 2021 12:12
350,89,68.3,8.78E-04,5.88E-06,3.24E-04,8.16E-04,1.04E+03,0,T_4MR_T+Z-Z,22-Jul, 2021 12:13
375,94,68.8,8.35E-04,-2.09E-05,3.01E-04,7.78E-04,1.54E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:25
375,90.5,69.9,7.86E-04,-2.31E-06,2.70E-04,7.38E-04,1.60E+01,0,T_4MR_T+Z-Z,23-Jul, 2021 14:26
375,90.1,69.9,7.82E-04,-7.00E-07,2.69E-04,7.34E-04,8.65E+00,0,T_4MR_T+Z-Z,23-Jul, 2021 14:28
400,94.2,70.8,7.26E-04,-1.77E-05,2.39E-04,6.86E-04,3.51E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:37
400,90.4,70.5,6.92E-04,-1.63E-06,2.31E-04,6.52E-04,9.48E+00,0,T_4MR_T+Z-Z,24-Jul, 2021 13:38
400,90.3,71.9,6.59E-04,-9.04E-07,2.05E-04,6.26E-04,3.98E+00,0,T_4MR_T+Z-Z,24-Jul, 2021 13:40
425,89.9,70.3,6.17E-04,4.41E-07,2.08E-04,5.81E-04,1.93E+00,0,T_4MR_T+Z-Z,25-Jul, 2021 09:59
425,89.8,68.5,6.01E-04,8.70E-07,2.20E-04,5.59E-04,7.80E+00,0,T_4MR_T+Z-Z,25-Jul, 2021 10:00
425,92.9,68,5.92E-04,-1.11E-05,2.22E-04,5.49E-04,1.13E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:02
450,94.9,68.5,5.31E-04,-1.65E-05,1.94E-04,4.94E-04,4.32E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:22
450,96.3,68.9,5.09E-04,-2.00E-05,1.82E-04,4.74E-04,6.14E+01,0,T_4MR_T+Z-Z,26-Jul, 2021 18:24
450,95.7,68.8,5.21E-04,-1.86E-05,1.88E-04,4.85E-04,5.42E+01,0,T_4MR_T+Z-Z,26-Jul, 2021 18:25
475,91.2,67,4.44E-04,-3.68E-06,1.73E-04,4.09E-04,3.16E+01,0,T_4MR_T+Z-Z,3-Aug, 2021 08:47
475,86.7,66.2,4.44E-04,1.03E-05,1.79E-04,4.06E-04,8.91E+01,0,T_4MR_T+Z-Z,3-Aug, 2021 08:48
475,90.8,68.2,4.35E-04,-2.36E-06,1.61E-04,4.04E-04,1.87E+01,0,T_4MR_T+Z-Z,3-Aug, 2021 08:49
500,94.9,66.2,4.03E-04,-1.38E-05,1.62E-04,3.68E-04,2.57E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 14:05
500,91.8,66.2,4.02E-04,-5.05E-06,1.62E-04,3.68E-04,3.02E+01,0,T_4MR_T+Z-Z,3-Aug, 2021 14:10
500,87.8,66.3,4.08E-04,6.27E-06,1.64E-04,3.74E-04,8.75E+01,0,T_4MR_T+Z-Z,3-Aug, 2021 14:11
515,89,68.3,3.30E-04,2.13E-06,1.22E-04,3.07E-04,1.95E+01,0,T_4MR_T+Z-Z,6-Aug, 2021 10:22
515,91.1,67,3.30E-04,-2.58E-06,1.29E-04,3.04E-04,2.01E+01,0,T_4MR_T+Z-Z,6-Aug, 2021 10:23
515,86.9,68.2,3.23E-04,6.57E-06,1.20E-04,3.00E-04,4.68E+01,0,T_4MR_T+Z-Z,6-Aug, 2021 10:25
530,89.8,65,2.75E-04,4.68E-07,1.16E-04,2.49E-04,3.13E+00,0,T_4MR_T+Z-Z,6-Aug, 2021 12:49
530,88.8,64.9,2.72E-04,2.35E-06,1.15E-04,2.46E-04,3.41E+00,0,T_4MR_T+Z-Z,6-Aug, 2021 12:54
530,89.9,65.3,2.82E-04,2.34E-07,1.18E-04,2.56E-04,7.90E-01,0,T_4MR_T+Z-Z,6-Aug, 2021 12:59
540,95.2,59.1,2.32E-04,-1.09E-05,1.19E-04,1.99E-04,3.64E+01,0,T_4MR_T+Z-Z,10-Aug, 2021 12:08
540,96.8,56.6,2.31E-04,-1.50E-05,1.26E-04,1.93E-04,6.23E+01,0,T_4MR_T+Z-Z,10-Aug, 2021 12:09
540,91.3,57.3,2.32E-04,-2.76E-06,1.25E-04,1.96E-04,1.25E+01,0,T_4MR_T+Z-Z,10-Aug, 2021 12:11
550,81.9,21.6,1.18E-04,1.55E-05,1.08E-04,4.33E-05,4.04E+01,0,T_4MR_T+Z-Z,11-Aug, 2021 10:38
550,71.2,18,1.17E-04,3.60E-05,1.06E-04,3.62E-05,1.22E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 10:57
550,79.4,22.2,1.18E-04,2.01E-05,1.07E-04,4.46E-05,1.03E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 11:01
560,70.1,58.3,1.92E-04,3.43E-05,9.47E-05,1.63E-04,3.04E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:48
560,72.2,56.9,1.87E-04,3.12E-05,9.73E-05,1.57E-04,1.05E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:49
560,70.5,57.3,1.88E-04,3.39E-05,9.58E-05,1.58E-04,7.35E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:50
566,99.9,53.7,1.72E-04,-1.74E-05,1.00E-04,1.38E-04,1.54E+03,0,T_4MR_T+Z-Z,12-Aug, 2021 16:35
566,100.8,53.7,1.80E-04,-1.99E-05,1.04E-04,1.45E-04,2.00E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:36
566,100.6,53.9,1.65E-04,-1.79E-05,9.53E-05,1.33E-04,3.89E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:38
570,75.9,61.2,1.96E-04,2.31E-05,9.18E-05,1.72E-04,8.91E+01,0,T_4MR_T+Z-Z,13-Aug, 2021 10:48
570,67.3,61.8,1.99E-04,3.64E-05,8.69E-05,1.76E-04,1.68E+02,0,T_4MR_T+Z-Z,13-Aug, 2021 10:49
570,73.6,61.6,1.89E-04,2.54E-05,8.64E-05,1.66E-04,1.56E+02,0,T_4MR_T+Z-Z,13-Aug, 2021 10:50
