Sample ID: CS3-1a   Date/Time: Jul 09 2021 17:49,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
100,82,72.3,4.83E-03,2.05E-04,1.45E-03,4.60E-03,2.39E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:51
100,79.9,73,4.67E-03,2.41E-04,1.35E-03,4.47E-03,4.49E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:52
100,78.6,71.8,4.67E-03,2.88E-04,1.43E-03,4.44E-03,6.14E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:54
150,72.2,71.2,2.60E-03,2.56E-04,7.97E-04,2.46E-03,1.32E+03,0,T_4MR_T+Z-Z,19-Jul, 2021 16:27
150,73.7,71.9,2.68E-03,2.34E-04,7.99E-04,2.55E-03,1.02E+03,0,T_4MR_T+Z-Z,19-Jul, 2021 16:29
150,74.4,72.6,2.69E-03,2.16E-04,7.76E-04,2.56E-03,5.11E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 16:30
200,74.5,69.5,2.04E-03,1.91E-04,6.88E-04,1.92E-03,6.42E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:35
200,74.3,72.1,2.22E-03,1.85E-04,6.60E-04,2.12E-03,6.89E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:36
200,71.2,72,2.13E-03,2.11E-04,6.22E-04,2.03E-03,7.00E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:37
250,79.8,70.3,1.31E-03,7.84E-05,4.36E-04,1.23E-03,1.03E+03,0,T_4MR_T+Z-Z,20-Jul, 2021 16:43
250,77.1,70.6,1.35E-03,9.94E-05,4.36E-04,1.27E-03,4.71E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:46
250,73.5,70.6,1.29E-03,1.22E-04,4.10E-04,1.21E-03,2.44E+03,0,T_4MR_T+Z-Z,20-Jul, 2021 16:48
