Sample ID: WP-3b   Date/Time: Jun 02 2021 16:37,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: 0 from tip,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
NRM,16.1,64.8,1.00E-03,4.10E-04,1.18E-04,9.08E-04,9.99E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:39
NRM,18.4,66.7,8.03E-04,3.01E-04,1.00E-04,7.38E-04,7.92E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:42
NRM,14.9,64.9,9.95E-04,4.08E-04,1.09E-04,9.01E-04,9.71E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:45
NRM,17.1,64.8,9.71E-04,3.95E-04,1.21E-04,8.79E-04,7.12E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:46
NRM,17,64.6,1.01E-03,4.12E-04,1.26E-04,9.09E-04,6.05E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:48
NRM,16.1,64.8,9.81E-04,4.01E-04,1.16E-04,8.88E-04,1.76E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:50
NRM,15.8,65.2,9.69E-04,3.92E-04,1.11E-04,8.80E-04,7.55E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:51
NRM,16.6,64.9,9.76E-04,3.96E-04,1.18E-04,8.84E-04,1.20E+04,0,T_4MR_T+Z-Z,2-Jun, 2021 16:54
NRM,15.4,65.3,9.84E-04,3.97E-04,1.09E-04,8.93E-04,1.22E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:57
NRM,17.1,65.1,9.93E-04,4.00E-04,1.23E-04,9.00E-04,5.48E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:58
