Sample ID: CS8-1a   Date/Time: Jun 08 2021 09:31,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
450,18,50.3,3.43E-05,2.09E-05,6.78E-06,2.64E-05,2.62E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:33
450,22.4,48.8,3.52E-05,2.15E-05,8.83E-06,2.65E-05,5.57E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:35
450,19.2,50.4,3.49E-05,2.10E-05,7.30E-06,2.69E-05,1.46E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:37
450,22.2,51.2,3.62E-05,2.10E-05,8.59E-06,2.82E-05,4.01E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:39
475,17.6,49,3.21E-05,2.01E-05,6.38E-06,2.43E-05,4.60E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 15:14
475,18.9,48,3.27E-05,2.07E-05,7.08E-06,2.43E-05,2.53E+01,0,T_4MR_T+Z-Z,8-Jun, 2021 16:08
500,7.8,48.4,2.97E-05,1.95E-05,2.66E-06,2.22E-05,1.93E+01,0,T_4MR_T+Z-Z,9-Jun, 2021 11:27
500,18.3,47.3,3.01E-05,1.94E-05,6.40E-06,2.21E-05,6.73E+01,0,T_4MR_T+Z-Z,9-Jun, 2021 11:35
500,9.1,47.7,3.05E-05,2.02E-05,3.25E-06,2.25E-05,1.25E+01,0,T_4MR_T+Z-Z,9-Jun, 2021 11:41
515,8.2,48.3,2.75E-05,1.81E-05,2.59E-06,2.05E-05,2.85E+01,0,T_4MR_T+Z-Z,10-Jun, 2021 10:22
515,4.6,46.6,2.85E-05,1.95E-05,1.55E-06,2.07E-05,6.69E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:23
515,11,47.4,2.81E-05,1.86E-05,3.63E-06,2.07E-05,1.78E+01,0,T_4MR_T+Z-Z,10-Jun, 2021 10:25
530,8.3,41.8,3.03E-05,2.24E-05,3.27E-06,2.02E-05,1.43E+01,0,T_4MR_T+Z-Z,14-Jun, 2021 09:35
530,14.5,47.1,2.75E-05,1.82E-05,4.70E-06,2.02E-05,1.65E+01,0,T_4MR_T+Z-Z,14-Jun, 2021 09:39
530,9.2,48.1,2.49E-05,1.64E-05,2.65E-06,1.85E-05,7.62E+00,0,T_4MR_T+Z-Z,14-Jun, 2021 09:41
540,3.7,50.1,1.83E-05,1.17E-05,7.53E-07,1.40E-05,5.97E+00,0,T_4MR_T+Z-Z,15-Jun, 2021 10:27
540,5.8,50.4,1.87E-05,1.19E-05,1.21E-06,1.44E-05,9.96E+01,0,T_4MR_T+Z-Z,15-Jun, 2021 10:29
540,9.5,50,1.87E-05,1.18E-05,1.98E-06,1.43E-05,1.77E+01,0,T_4MR_T+Z-Z,15-Jun, 2021 10:32
540,10.1,47.5,1.93E-05,1.29E-05,2.29E-06,1.43E-05,1.21E+01,0,T_4MR_T+Z-Z,15-Jun, 2021 10:34
550,7.9,45.6,1.47E-05,1.02E-05,1.42E-06,1.05E-05,5.06E+01,0,T_4MR_T+Z-Z,16-Jun, 2021 12:06
550,12.9,46.2,1.39E-05,9.41E-06,2.15E-06,1.01E-05,2.36E+01,0,T_4MR_T+Z-Z,16-Jun, 2021 12:07
550,10.2,44,1.45E-05,1.03E-05,1.85E-06,1.01E-05,1.03E+01,0,T_4MR_T+Z-Z,16-Jun, 2021 12:09
560,9.7,67.6,4.55E-06,1.71E-06,2.92E-07,4.21E-06,1.33E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 10:05
560,8.1,48.7,5.95E-06,3.89E-06,5.52E-07,4.47E-06,1.77E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 10:08
560,7.5,48.7,5.99E-06,3.92E-06,5.18E-07,4.50E-06,2.04E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 10:11
565,1.2,47.5,2.54E-06,1.72E-06,3.52E-08,1.87E-06,2.09E-01,0,T_4MR_T+Z-Z,18-Jun, 2021 09:34
565,1.2,50.7,2.40E-06,1.52E-06,3.23E-08,1.86E-06,2.15E-01,0,T_4MR_T+Z-Z,18-Jun, 2021 09:35
565,7.9,49.2,2.34E-06,1.51E-06,2.10E-07,1.77E-06,4.86E+00,0,T_4MR_T+Z-Z,18-Jun, 2021 09:39
568,21.2,40.7,1.58E-06,1.11E-06,4.33E-07,1.03E-06,2.53E+00,0,T_4MR_T+Z-Z,21-Jun, 2021 10:42
568,20,42.1,1.51E-06,1.05E-06,3.84E-07,1.01E-06,5.73E+00,0,T_4MR_T+Z-Z,21-Jun, 2021 10:43
568,23,41.2,1.55E-06,1.07E-06,4.54E-07,1.02E-06,4.25E+00,0,T_4MR_T+Z-Z,21-Jun, 2021 10:45
574,168.9,66.4,1.74E-07,-6.80E-08,1.34E-08,1.59E-07,7.23E-02,0,T_4MR_T+Z-Z,8-Jul, 2021 11:50
574,6.9,57.8,1.70E-07,8.99E-08,1.09E-08,1.44E-07,1.73E-01,0,T_4MR_T+Z-Z,8-Jul, 2021 11:52
574,106.2,57.1,2.55E-07,-3.87E-08,1.33E-07,2.14E-07,3.38E-01,0,T_4MR_T+Z-Z,8-Jul, 2021 11:53
