Sample ID: Holder   Date/Time: Jun 02 2021 15:22,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: Holder_small blank measurement,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
NRM,356.4,89.5,2.98E-05,2.36E-07,-1.47E-08,2.98E-05,7.80E-04,0,T_4MR_T+Z-Z,2-Jun, 2021 15:23
NRM,185,-16.8,3.63E-08,-3.46E-08,-3.01E-09,-1.05E-08,1.16E-02,0,T_4MR_T+Z-Z,2-Jun, 2021 15:27
NRM,307.3,-79.5,1.71E-07,1.88E-08,-2.47E-08,-1.68E-07,2.99E-01,0,T_4MR_T+Z,2-Jun, 2021 15:30
NRM,281.8,-44.2,1.74E-07,2.56E-08,-1.23E-07,-1.22E-07,5.41E-01,0,T_4MR_T+Z,2-Jun, 2021 15:31
NRM,293.7,-62.7,2.03E-07,3.75E-08,-8.53E-08,-1.81E-07,4.36E-01,0,T_4MR_T+Z,2-Jun, 2021 15:32
NRM,257.2,-68.1,1.30E-07,-1.07E-08,-4.72E-08,-1.21E-07,4.09E-01,0,T_4MR_T+Z,2-Jun, 2021 15:33
NRM,295.9,-48.5,2.22E-07,6.43E-08,-1.33E-07,-1.67E-07,5.04E+00,0,T_4MR_T+Z,2-Jun, 2021 15:34
NRM,313.9,-56,1.89E-07,7.35E-08,-7.64E-08,-1.57E-07,1.93E+00,0,T_4MR_T+Z,2-Jun, 2021 15:35
NRM,240.5,-18.5,1.35E-07,-6.28E-08,-1.11E-07,-4.29E-08,9.40E-01,0,T_4MR_T+Z,2-Jun, 2021 15:35
NRM,292.3,-46.6,1.47E-07,3.82E-08,-9.31E-08,-1.07E-07,1.78E-01,0,T_4MR_T+Z,2-Jun, 2021 15:36
NRM,253.8,-59.2,1.26E-07,-1.80E-08,-6.19E-08,-1.08E-07,7.73E-02,0,T_4MR_T+Z,2-Jun, 2021 15:37
NRM,278.7,-54.5,1.33E-07,1.17E-08,-7.61E-08,-1.08E-07,3.75E-01,0,T_4MR_T+Z,2-Jun, 2021 15:37
