Sample ID: CS2-2a   Date/Time: Jul 09 2021 17:41,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
250,131.7,-15.8,9.90E-05,-6.33E-05,7.12E-05,-2.69E-05,6.01E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:40
250,143.4,-13.6,1.18E-04,-9.24E-05,6.86E-05,-2.79E-05,3.09E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:42
300,145.7,-14.2,1.10E-04,-8.80E-05,6.00E-05,-2.70E-05,8.82E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 08:57
300,143.7,-13.6,1.14E-04,-8.90E-05,6.53E-05,-2.68E-05,4.02E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 08:58
300,146.1,-15.2,1.19E-04,-9.51E-05,6.39E-05,-3.11E-05,1.48E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 09:00
350,145.8,-15.1,1.02E-04,-8.14E-05,5.54E-05,-2.67E-05,6.92E+02,0,T_4MR_T+Z-Z,22-Jul, 2021 12:00
350,147.5,-14.5,1.03E-04,-8.39E-05,5.35E-05,-2.57E-05,2.74E+02,0,T_4MR_T+Z-Z,22-Jul, 2021 12:01
350,146.5,-14,1.04E-04,-8.38E-05,5.54E-05,-2.50E-05,1.10E+03,0,T_4MR_T+Z-Z,22-Jul, 2021 12:03
375,150.9,-13.5,9.58E-05,-8.14E-05,4.52E-05,-2.23E-05,2.48E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:19
375,148.6,-12.4,9.40E-05,-7.84E-05,4.79E-05,-2.01E-05,4.27E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:21
375,148.2,-12.7,1.01E-04,-8.40E-05,5.21E-05,-2.23E-05,4.15E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:22
400,149.9,-13.2,8.39E-05,-7.07E-05,4.09E-05,-1.92E-05,1.04E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:42
400,137.5,-14.9,6.93E-05,-4.94E-05,4.52E-05,-1.79E-05,5.98E+01,0,T_4MR_T+Z-Z,24-Jul, 2021 13:44
400,149.9,-14.6,8.38E-05,-7.02E-05,4.07E-05,-2.11E-05,2.45E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:45
425,142.5,-14.3,6.93E-05,-5.32E-05,4.09E-05,-1.71E-05,7.83E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:04
425,147.3,-14.9,8.51E-05,-6.92E-05,4.44E-05,-2.18E-05,1.92E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:05
425,147.4,-14.7,8.53E-05,-6.95E-05,4.45E-05,-2.17E-05,2.14E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:06
450,152.1,-13.9,7.83E-05,-6.72E-05,3.55E-05,-1.89E-05,4.47E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:18
450,149.9,-14.6,7.87E-05,-6.59E-05,3.82E-05,-1.98E-05,1.08E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:19
450,152,-14.8,8.53E-05,-7.28E-05,3.87E-05,-2.18E-05,3.35E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:20
475,150.4,-14.4,7.69E-05,-6.47E-05,3.68E-05,-1.92E-05,2.35E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:43
475,148.5,-14.8,7.62E-05,-6.28E-05,3.85E-05,-1.95E-05,5.15E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:44
475,149.6,-14.4,7.60E-05,-6.35E-05,3.73E-05,-1.89E-05,2.23E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:45
500,156.9,-14.9,7.48E-05,-6.65E-05,2.84E-05,-1.93E-05,3.28E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 13:35
500,147.5,-18,6.14E-05,-4.92E-05,3.14E-05,-1.90E-05,1.57E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 13:55
500,152.8,-16.2,7.47E-05,-6.38E-05,3.27E-05,-2.09E-05,1.18E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 13:57
515,161.2,-17.1,6.09E-05,-5.51E-05,1.88E-05,-1.79E-05,7.98E+01,0,T_4MR_T+Z-Z,6-Aug, 2021 10:18
515,160.4,-17.2,6.04E-05,-5.44E-05,1.94E-05,-1.79E-05,1.33E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 10:19
515,159.2,-16.9,6.24E-05,-5.58E-05,2.13E-05,-1.82E-05,1.29E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 10:20
530,159.1,-11.9,7.17E-05,-6.56E-05,2.50E-05,-1.48E-05,5.98E+01,0,T_4MR_T+Z-Z,6-Aug, 2021 12:45
530,157.7,-12.3,6.70E-05,-6.06E-05,2.49E-05,-1.43E-05,3.93E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 12:46
530,158.1,-12.8,7.15E-05,-6.47E-05,2.60E-05,-1.58E-05,3.25E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 12:47
540,154,-0.7,5.95E-05,-5.35E-05,2.61E-05,-7.47E-07,9.82E+00,0,T_4MR_T+Z-Z,10-Aug, 2021 11:57
540,159.6,-3.9,7.48E-05,-7.00E-05,2.60E-05,-5.06E-06,6.60E+01,0,T_4MR_T+Z-Z,10-Aug, 2021 11:59
540,160.6,-4.3,7.34E-05,-6.90E-05,2.43E-05,-5.49E-06,3.40E+01,0,T_4MR_T+Z-Z,10-Aug, 2021 12:00
550,195.9,-17.2,3.91E-05,-3.59E-05,-1.02E-05,-1.16E-05,2.57E+01,0,T_4MR_T+Z-Z,11-Aug, 2021 10:33
550,203.2,-17.8,4.00E-05,-3.50E-05,-1.50E-05,-1.22E-05,1.35E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 10:34
550,202.5,-17.8,4.16E-05,-3.66E-05,-1.52E-05,-1.27E-05,5.64E+01,0,T_4MR_T+Z-Z,11-Aug, 2021 10:36
560,151.9,-7.2,6.79E-05,-5.94E-05,3.18E-05,-8.50E-06,1.07E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:30
560,153.3,-10.5,7.01E-05,-6.16E-05,3.10E-05,-1.28E-05,9.65E+01,0,T_4MR_T+Z-Z,12-Aug, 2021 09:43
560,150.6,-8.5,7.13E-05,-6.14E-05,3.47E-05,-1.05E-05,1.75E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:45
566,236,-27.7,2.66E-05,-1.32E-05,-1.95E-05,-1.24E-05,1.00E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:39
566,234.4,-28.5,2.74E-05,-1.40E-05,-1.96E-05,-1.31E-05,1.60E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:41
566,234.5,-28.5,2.73E-05,-1.39E-05,-1.95E-05,-1.30E-05,2.45E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:42
570,154.7,-1.9,5.65E-05,-5.10E-05,2.41E-05,-1.89E-06,1.36E+01,0,T_4MR_T+Z-Z,13-Aug, 2021 10:39
570,153.2,-1.9,5.47E-05,-4.88E-05,2.47E-05,-1.86E-06,1.72E+01,0,T_4MR_T+Z-Z,13-Aug, 2021 10:41
570,153.1,-3,5.57E-05,-4.96E-05,2.52E-05,-2.94E-06,8.64E+01,0,T_4MR_T+Z-Z,13-Aug, 2021 10:42
