Sample ID: CS2-2a   Date/Time: Jul 09 2021 17:41,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
100,151.6,-19.3,1.79E-04,-1.49E-04,8.05E-05,-5.91E-05,4.64E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:42
100,152.1,-19,1.81E-04,-1.51E-04,8.02E-05,-5.89E-05,1.14E+03,0,T_4MR_T+Z-Z,9-Jul, 2021 17:46
100,149.8,-19.2,1.79E-04,-1.46E-04,8.50E-05,-5.88E-05,4.71E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:47
150,144.1,-15,1.43E-04,-1.12E-04,8.11E-05,-3.71E-05,7.16E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 16:23
150,147.8,-15.6,1.40E-04,-1.14E-04,7.20E-05,-3.77E-05,2.09E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 16:24
150,146.1,-15.6,1.41E-04,-1.12E-04,7.56E-05,-3.78E-05,3.66E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 16:25
200,143.1,-12.3,1.33E-04,-1.04E-04,7.77E-05,-2.83E-05,6.75E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:31
200,144.6,-13.5,1.25E-04,-9.92E-05,7.06E-05,-2.91E-05,1.01E+03,0,T_4MR_T+Z-Z,19-Jul, 2021 18:32
200,142.6,-13.5,1.26E-04,-9.73E-05,7.43E-05,-2.93E-05,2.42E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:33
250,141.7,-13.4,1.19E-04,-9.09E-05,7.18E-05,-2.76E-05,2.67E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:37
