Sample ID: X   Date/Time: Apr 20 2021 10:39,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,
Notes: ,,,,,,,,,,
,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time
NRM,211.2,0,2.67E-03,-2.28E-03,-1.39E-03,0.00E+00,1.58E-01,0,T_4MR_T+Z,1-Jun
NRM,350.5,3,7.43E-04,7.32E-04,-1.23E-04,3.88E-05,2.86E+02,0,T_4MR_T+Z,1-Jun
NRM,355,0.9,7.22E-04,7.19E-04,-6.30E-05,1.08E-05,1.14E+03,0,T_4MR_T+Z-Z,1-Jun
NRM,354,0.2,1.10E-03,1.09E-03,-1.15E-04,3.99E-06,1.26E+02,0,T_4MR_T+Z-Z,1-Jun
NRM,358.7,1,1.08E-03,1.08E-03,-2.44E-05,1.93E-05,1.39E+02,0,T_4MR_T+Z-Z,2-Jun
NRM,356.1,1.1,8.41E-04,8.39E-04,-5.78E-05,1.58E-05,1.14E+03,0,T_4MR_T+Z-Z,2-Jun
NRM,355.3,0.1,9.13E-04,9.10E-04,-7.53E-05,1.48E-06,1.55E+01,0,T_4MR_T+Z-Z,2-Jun
NRM,355.9,1,8.67E-04,8.64E-04,-6.21E-05,1.53E-05,1.00E+02,0,T_4MR_T+Z-Z,2-Jun
NRM,356,0.3,8.63E-04,8.60E-04,-5.97E-05,4.63E-06,9.49E+01,0,T_4MR_T+Z-Z,2-Jun
NRM,354.9,0.3,6.40E-04,6.38E-04,-5.64E-05,3.52E-06,7.40E+01,0,T_4MR_T+Z-Z,2-Jun
NRM,356.4,1,8.73E-04,8.71E-04,-5.51E-05,1.58E-05,7.52E+02,0,T_4MR_T+Z-Z,2-Jun
NRM,354.9,0,8.71E-04,8.67E-04,-7.69E-05,7.11E-07,3.58E+01,0,T_4MR_T+Z-Z,2-Jun
NRM,354.9,0.8,8.55E-04,8.52E-04,-7.53E-05,1.22E-05,1.62E+02,0,T_4MR_T+Z-Z,2-Jun
NRM,356,0.8,8.37E-04,8.34E-04,-5.81E-05,1.13E-05,3.22E+02,0,T_4MR_T+Z-Z,2-Jun
NRM,355.4,0.8,8.08E-04,8.05E-04,-6.44E-05,1.08E-05,1.47E+02,0,T_4MR_T+Z-Z,2-Jun
