Sample ID: CS9-1a   Date/Time: Jun 08 2021 09:40,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
450,99.6,-18.5,9.82E-06,-1.56E-06,9.18E-06,-3.12E-06,9.58E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 09:41
450,99.4,-19.4,9.57E-06,-1.47E-06,8.91E-06,-3.17E-06,6.86E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 09:43
450,97.8,-19.7,9.31E-06,-1.19E-06,8.69E-06,-3.14E-06,4.82E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 09:45
475,95.6,-19.1,8.06E-06,-7.41E-07,7.58E-06,-2.64E-06,5.04E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 15:18
475,87.3,-15.1,8.61E-06,3.92E-07,8.31E-06,-2.25E-06,1.22E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 16:10
475,91.4,-20.2,8.48E-06,-1.97E-07,7.95E-06,-2.93E-06,4.89E-01,0,T_4MR_T+Z-Z,8-Jun, 2021 16:11
500,98.4,-9.6,7.49E-06,-1.08E-06,7.30E-06,-1.24E-06,8.44E+00,0,T_4MR_T+Z-Z,9-Jun, 2021 11:30
500,96,-21.5,7.82E-06,-7.60E-07,7.23E-06,-2.87E-06,6.25E+00,0,T_4MR_T+Z-Z,9-Jun, 2021 11:32
500,95.9,-21.2,8.15E-06,-7.82E-07,7.56E-06,-2.94E-06,2.73E+01,0,T_4MR_T+Z-Z,9-Jun, 2021 11:34
515,76.8,-5.6,6.72E-06,1.53E-06,6.51E-06,-6.61E-07,1.50E+01,0,T_4MR_T+Z-Z,10-Jun, 2021 10:27
515,79.1,-16.8,6.55E-06,1.18E-06,6.16E-06,-1.90E-06,3.32E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:29
515,80.8,-20.6,6.68E-06,9.95E-07,6.17E-06,-2.35E-06,3.70E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:31
530,99.1,-16.6,7.57E-06,-1.15E-06,7.16E-06,-2.17E-06,7.18E+00,0,T_4MR_T+Z-Z,14-Jun, 2021 09:51
530,90.6,-15.7,7.71E-06,-7.26E-08,7.42E-06,-2.08E-06,1.67E+00,0,T_4MR_T+Z-Z,14-Jun, 2021 09:54
530,91,-13,7.48E-06,-1.24E-07,7.29E-06,-1.69E-06,5.39E-01,0,T_4MR_T+Z-Z,14-Jun, 2021 09:57
540,72.3,30.9,7.55E-06,1.97E-06,6.17E-06,3.88E-06,9.93E+00,0,T_4MR_T+Z-Z,15-Jun, 2021 10:39
