Sample ID: T1-84b   Date/Time: Jun 02 2021 16:59,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: 0 from tip,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
NRM,231.5,-47.9,6.53E-06,-2.72E-06,-3.43E-06,-4.85E-06,2.78E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 17:00
NRM,231.8,-47.8,6.45E-06,-2.68E-06,-3.40E-06,-4.77E-06,3.33E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:04
NRM,226.7,-47.1,6.51E-06,-3.04E-06,-3.22E-06,-4.77E-06,3.67E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:05
NRM,233.3,-48.4,6.43E-06,-2.55E-06,-3.42E-06,-4.81E-06,1.54E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:07
NRM,231.5,-47.7,6.50E-06,-2.72E-06,-3.42E-06,-4.81E-06,1.80E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:08
NRM,232.2,-47.8,6.94E-06,-2.86E-06,-3.69E-06,-5.14E-06,9.06E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:10
NRM,230.9,-46.7,6.76E-06,-2.92E-06,-3.60E-06,-4.92E-06,8.05E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:12
NRM,231.1,-47.3,7.07E-06,-3.01E-06,-3.73E-06,-5.19E-06,9.91E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 17:14
NRM,232.2,-47.5,6.90E-06,-2.86E-06,-3.68E-06,-5.09E-06,1.40E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 17:15
NRM,231.5,-46.7,6.63E-06,-2.83E-06,-3.56E-06,-4.83E-06,1.96E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 17:17
