tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
CS1-1a_LP-DIR-T-1	CS1-1a_LP-DIR-T	CS1-1a	1.9	212.7	0.7	0	0	0.0	0.0	0	373.0	This study	OPRM 9-Jul 2021 17:39	LT-T-Z:DE-VM:LP-DIR-T	g	1	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	6.131e-07	5.2200000000000005e-11	3.18e-11	2.1e-13	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-2	CS1-1a_LP-DIR-T	CS1-1a	1.5	213.8	-0.3	0	0	0.0	0.0	1	423.0	This study	OPRM 19-Jul 2021 16:22	LT-T-Z:DE-VM:LP-DIR-T	g	2	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	5.739e-07	4.62e-11	3.23e-11	1.2e-13	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-3	CS1-1a_LP-DIR-T	CS1-1a	2.1	212.6	-2.9	0	0	0.0	0.0	2	473.0	This study	OPRM 19-Jul 2021 18:29	LT-T-Z:DE-VM:LP-DIR-T	g	3	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	5.041e-07	4.34e-11	2.54e-11	2.8900000000000004e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-4	CS1-1a_LP-DIR-T	CS1-1a	0.8	212.1	-3.5	0	0	0.0	0.0	3	523.0	This study	OPRM 20-Jul 2021 16:35	LT-T-Z:DE-VM:LP-DIR-T	g	4	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	4.586e-07	3.84e-11	2.35e-11	2.88e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-5	CS1-1a_LP-DIR-T	CS1-1a	1.4	212.9	-5.9	0	0	0.0	0.0	4	573.0	This study	OPRM 21-Jul 2021 08:55	LT-T-Z:DE-VM:LP-DIR-T	g	5	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.906e-07	3.27e-11	2.14e-11	2.99e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-6	CS1-1a_LP-DIR-T	CS1-1a	1.4	209.0	-10.2	0	0	0.0	0.0	5	623.0	This study	OPRM 22-Jul 2021 11:58	LT-T-Z:DE-VM:LP-DIR-T	g	6	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.613e-07	2.29e-11	1.19e-11	4.75e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-7	CS1-1a_LP-DIR-T	CS1-1a	1.6	208.7	-13.0	0	0	0.0	0.0	6	648.0	This study	OPRM 23-Jul 2021 14:18	LT-T-Z:DE-VM:LP-DIR-T	g	7	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.476e-07	2.04e-11	1.09e-11	5.0500000000000005e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-8	CS1-1a_LP-DIR-T	CS1-1a	1.3	206.8	-14.4	0	0	0.0	0.0	7	673.0	This study	OPRM 24-Jul 2021 13:48	LT-T-Z:DE-VM:LP-DIR-T	g	8	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.303e-07	1.97e-11	9.42e-12	5.45e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-9	CS1-1a_LP-DIR-T	CS1-1a	0.9	207.0	-15.0	0	0	0.0	0.0	8	698.0	This study	OPRM 25-Jul 2021 10:10	LT-T-Z:DE-VM:LP-DIR-T	g	9	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.086e-07	1.8e-11	8.939999999999999e-12	5.18e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-10	CS1-1a_LP-DIR-T	CS1-1a	0.8	205.5	-15.7	0	0	0.0	0.0	9	723.0	This study	OPRM 26-Jul 2021 18:15	LT-T-Z:DE-VM:LP-DIR-T	g	10	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.933e-07	1.62e-11	7.9e-12	5.29e-12	CS1-1	CS1	OPRM
CS1-1a_LP-DIR-T-11	CS1-1a_LP-DIR-T	CS1-1a	1.5	207.0	-15.5	0	0	0.0	0.0	10	748.0	This study	OPRM 3-Aug 2021 08:41	LT-T-Z:DE-VM:LP-DIR-T	g	11	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.803e-07	1.58e-11	7.58e-12	4.929999999999999e-12	CS1-1	CS1	OPRM
